4.350,6.460,5.560,11.040,14.860,17.910,20.980,21.590,17.090,10.910,7.620,3.060
1.722,5.767,8.044,9.378,10.833,21.422,22.167,21.989,16.711,15.500,7.067,5.114
4.622,-0.389,4.311,12.433,14.589,18.711,21.833,21.856,18.022,12.789,7.311,4.133
-0.278,4.756,9.544,10.789,15.044,20.956,21.922,23.222,14.689,13.122,6.044,2.778
3.180,4.890,5.970,11.070,13.100,17.856,21.822,20.060,17.700,10.650,7.110,4.730
3.710,2.010,5.580,10.610,14.780,18.940,23.890,20.960,15.640,10.770,8.410,5.770
3.800,4.330,7.810,10.790,14.133,19.033,21.367,19.300,16.000,13.110,9.240,4.080
2.380,0.800,4.320,10.580,12.600,17.740,21.540,20.900,17.160,12.100,6.360,4.870
2.770,-0.280,9.290,9.090,14.100,20.030,22.040,22.910,16.090,11.860,7.810,2.525
1.744,4.200,5.722,12.289,15.589,18.267,19.222,22.367,19.244,11.244,7.222,4.822
-0.120,2.110,5.080,9.870,13.100,18.320,21.820,19.660,15.130,9.880,6.560,0.778
1.460,2.830,6.500,10.470,16.890,18.410,21.350,22.020,16.790,11.110,7.320,1.840
3.370,3.940,6.150,9.410,14.280,18.300,20.880,21.010,15.360,12.840,6.560,2.700
5.290,5.080,6.650,12.610,15.880,18.240,21.370,19.570,15.550,10.740,5.460,2.220
0.420,2.410,4.740,10.330,14.440,18.880,22.430,18.310,17.080,13.070,8.070,4.240
1.980,0.110,5.960,9.178,15.440,19.430,20.970,19.030,15.760,10.570,5.170,1.050
1.370,3.378,4.930,9.020,12.690,18.200,20.311,20.633,16.170,12.410,6.610,3.240
2.340,0.450,7.330,8.620,16.210,21.288,21.667,23.600,15.390,9.600,6.150,2.610
3.344,3.080,7.033,10.267,14.711,19.560,22.033,22.560,15.800,12.230,7.490,2.990
1.614,3.750,8.322,9.089,15.520,18.911,22.340,22.880,14.950,13.290,5.460,1.510
2.811,4.344,6.700,10.922,15.214,19.457,20.557,21.075,16.644,11.763,7.338,4.714
3.340,1.970,6.550,10.000,14.680,18.470,21.760,21.000,16.700,11.640,6.550,3.950
3.270,3.940,7.600,9.910,14.388,18.525,20.775,21.170,16.160,11.950,6.720,2.820
2.350,3.050,5.730,10.600,14.330,18.260,20.560,20.640,16.550,11.256,6.311,3.522
1.520,1.440,6.080,10.020,14.500,18.850,21.460,20.220,15.500,11.644,7.411,2.344
1.933,3.380,5.830,10.530,15.360,17.900,20.850,20.560,16.260,11.710,6.350,2.370
2.620,3.310,6.460,9.710,14.190,18.160,21.380,20.860,15.550,11.540,6.860,2.578
3.100,3.133,6.789,11.363,16.533,19.463,21.956,21.744,16.367,11.233,6.567,3.100
2.030,3.050,6.550,9.720,14.760,18.470,21.238,20.250,16.256,12.444,7.580,3.156
3.411,2.800,7.100,9.730,14.480,18.280,21.230,20.390,15.700,11.210,5.200,1.600
1.844,2.950,6.470,9.490,14.830,18.870,21.010,20.690,16.350,11.980,7.290,3.390
2.889,2.422,7.178,9.600,15.956,19.989,21.711,21.433,16.425,10.922,5.300,2.156
2.589,3.429,6.950,9.150,14.113,18.222,19.900,20.417,17.100,12.638,6.656,3.150
1.771,0.713,5.544,8.678,14.610,18.938,20.586,21.213,15.370,11.163,5.800,2.088
