2.3264 2.1154 4.0500 6.0550 7.0050 4.5300 3.4450 9.9400 4.4500 37.9875 130.1625 156.4764 368.5431
190.3906 257.5218 277.2568 277.1518 6.6850 4.8750 1.9300 2.0750 2.0900 7.5200 1.1350 2.7554 1031.3863
0.6421 5.0853 3.1650 71.1925 67.9500 69.5450 4.7350 3.1050 8.3400 2.0800 15.0900 43.9179 294.8477
42.8162 1.2355 3.3550 11.5475 6.0375 3.0650 2.8050 2.3000 3.8250 73.9800 175.6350 200.5150 527.1167
200.3150 4.6881 2.3800 6.1000 7.1000 4.5150 1.6450 1.4350 7.4750 62.7325 194.4425 180.4095 673.2376
13.6724 14.1814 3.0150 8.3050 3.9300 22.0928 19.6628 3.5700 2.7650 125.8175 180.7250 263.3687 661.1056
254.0168 0.0721 8.1457 12.2157 4.4600 2.2300 1.7450 5.1700 9.9250 83.4325 125.8125 145.3524 652.5776
179.1735 178.9674 176.2524 40.7710 31.5910 72.1150 62.9700 1.5350 168.3787 234.1287 284.9187 279.9826 1710.7841
3.3661 25.6938 20.2188 2.5300 4.0350 6.1350 2.7400 8.6300 36.9875 35.2050 37.1500 62.2623 244.9535
95.5128 112.1290 108.5736 6.0800 5.8800 6.1950 2.9600 3.1550 8.4850 106.4700 236.9900 282.0351 974.4655
307.9312 303.3733 0.7700 3.4650 2.9200 9.4200 1.9850 2.1950 1.3000 2.4900 94.6200 178.9225 909.3920
237.5229 232.5284 1.4900 47.2393 42.3943 40.6443 0.2250 2.1200 26.4841 102.7416 154.8991 150.2185 1038.5077
3.6350 2.2448 7.6050 56.8275 49.4425 3.9100 1.5150 4.3050 6.7350 62.6100 151.3375 202.2575 552.4248
196.1652 0.2100 52.7779 60.8654 58.8904 9.0250 1.7600 2.5200 3.5350 66.1847 322.5222 340.8372 1115.2930
354.2255 352.4385 122.2300 160.5925 157.9525 2.2700 4.0450 1.6000 11.1050 34.0000 33.6250 0.7559 1234.8399
1.5050 3.0505 1.1050 6.5500 5.1800 3.3050 6.2050 6.2600 7.4950 42.2925 133.0975 221.7513 437.7968
253.9703 250.1512 1.2050 7.3850 1.1400 3.0150 1.3500 2.2800 2.5750 7.9200 136.7850 178.5530 846.3296
177.3602 205.6244 226.1144 225.8144 6.7000 5.2950 1.7700 1.2100 7.3850 54.9950 97.4750 100.2059 1109.9493
97.4940 0.4918 2.9700 9.3450 2.4850 1.4650 3.7450 8.1200 5.2250 8.1250 36.1525 60.7915 236.4097
57.4233 4.1792 28.1227 22.9577 1.9200 1.6500 3.0400 9.3700 29.1450 31.2825 30.5725 5.1150 224.7780
24.2800 78.0000 113.4650 108.3700 4.9350 4.9900 1.3700 2.6650 6.0850 7.4850 27.6925 23.1702 402.5077
6.0400 2.9000 5.7200 27.4125 23.8325 7.8000 2.2750 1.0050 2.9150 7.6450 142.1100 266.4895 496.1445
350.9418 390.7471 420.6593 480.3043 470.9743 3.0600 1.8450 2.2250 6.1300 5.1600 29.4850 188.8646 2350.3964
185.8725 191.1184 21.3378 21.7778 9.7100 7.1700 2.2250 5.7450 9.1850 70.8325 255.2100 326.3596 1106.5436
351.6967 352.4666 7.3150 2.0750 3.1400 8.6500 2.6850 0.7650 6.6750 53.6125 75.2450 114.1825 978.5083
121.6047 119.8557 2.5600 38.5870 34.4820 31.2120 0.8500 2.9000 9.5850 71.3325 239.5075 269.5434 942.0199
309.1799 327.8991 466.9647 520.7947 568.6622 559.5872 1.7450 2.0800 4.4550 32.1275 123.4950 199.7375 3116.7278
431.3000 545.6775 591.4650 588.3850 4.9750 7.2800 7.1250 2.4150 5.7050 5.7450 145.1900 164.5425 2499.8050
165.2275 20.5850 24.4475 22.8075 3.8300 2.9700 0.4150 5.7650 4.5300 53.6750 46.5550 44.9350 395.7425
34.1627 182.2980 214.4305 210.2955 9.3285 5.0535 2.6650 1.8250 2.3150 7.7250 92.2325 81.1875 843.5189
0.4172 92.0883 112.9533 111.8083 4.8350 2.0500 1.9200 0.4250 10.4700 0.4700 78.2892 254.2919 670.0181
253.1024 251.9296 69.0364 90.1039 91.4189 2.4300 3.0200 3.9050 2.9800 35.3497 93.9547 87.9097 985.1405
2.2726 28.2091 20.4641 70.8675 190.8650 174.7500 4.3650 2.8800 4.7600 7.0350 209.2550 294.7950 1010.5183
300.5225 300.7525 28.8950 21.2400 7.1900 6.8650 2.8450 8.8700 3.8750 60.6897 62.3397 201.2748 1005.3592
