11.91	13.53	30.44	50.70	63.59	76.24	92.82	78.23	61.46	28.85	16.18	11.27
12.54	16.59	31.10	42.81	60.71	69.79	93.36	88.71	54.00	33.44	17.02	13.34
14.60	21.17	38.18	39.11	75.18	78.46	91.73	81.36	47.45	35.54	15.32	11.28
13.08	21.68	39.02	43.99	101.69	101.77	94.92	80.42	49.31	26.65	15.80	9.59
11.81	15.08	37.23	48.10	65.53	90.60	114.69	95.33	56.60	29.83	15.73	13.20
14.64	20.34	39.65	51.54	79.61	75.52	92.52	91.43	47.58	24.16	19.89	10.74
11.77	20.02	37.32	53.71	88.29	82.00	77.59	96.01	50.32	27.61	14.25	12.86
14.58	17.23	45.82	48.58	78.70	86.91	106.21	93.36	47.89	29.47	20.49	13.76
11.27	19.29	32.08	53.97	74.22	86.29	109.84	84.95	50.03	39.92	18.66	10.34
12.75	14.91	29.95	54.70	84.18	107.37	107.43	92.39	52.06	29.82	14.35	10.33
14.18	24.79	54.70	67.02	98.77	105.97	124.11	108.45	79.34	41.79	18.66	13.19
13.77	24.51	36.74	42.02	78.03	98.59	112.80	100.46	54.25	30.65	15.25	10.76
16.16	22.34	43.99	63.23	99.42	116.91	122.63	99.35	67.23	40.35	17.83	13.75
17.03	26.39	46.20	61.57	102.83	121.81	120.31	128.49	77.25	34.93	19.40	14.48
14.07	24.09	39.44	62.11	101.03	123.90	144.11	136.12	67.00	44.96	20.60	14.18
18.31	29.63	52.11	62.77	96.21	126.72	134.85	118.48	65.13	41.98	21.26	12.08
16.32	20.18	49.77	65.26	110.93	141.12	137.55	131.51	72.82	36.64	19.55	14.34
16.41	22.98	40.35	61.65	91.79	115.14	129.36	110.53	75.78	39.01	21.86	14.15
17.39	19.71	45.32	63.38	106.07	124.28	132.19	103.09	67.81	36.71	19.26	13.39
14.40	21.55	41.07	69.49	103.73	127.41	145.31	101.67	74.71	43.82	24.44	15.99
20.71	26.51	43.84	80.59	108.41	110.67	139.33	110.83	76.62	40.89	21.73	14.65
17.83	25.76	43.42	64.03	96.30	116.54	129.28	121.45	69.84	42.74	20.15	14.11
15.70	22.94	44.34	61.27	111.66	114.38	132.95	119.68	69.06	41.40	21.76	14.79
13.53	20.53	40.52	68.70	89.57	117.82	136.51	105.81	69.38	36.91	19.78	13.79
15.55	24.25	42.64	78.75	113.92	113.96	121.87	123.55	82.13	44.72	22.64	17.13
18.68	20.45	56.45	60.90	102.15	127.96	138.40	131.60	68.03	41.50	21.11	15.67
16.84	20.42	36.44	66.14	89.26	120.68	138.22	121.61	76.28	38.34	19.86	17.42
16.87	23.57	49.03	70.04	122.60	151.43	144.43	103.56	69.08	45.01	22.03	15.03
19.20	22.08	43.46	71.32	99.85	121.69	144.14	114.94	67.23	36.17	26.93	17.74
17.32	23.43	40.90	70.93	91.86	111.85	136.45	114.32	77.41	38.55	21.77	18.30
15.06	23.74	53.48	73.91	103.45	131.06	139.65	129.70	66.84	49.16	21.40	15.92
19.35	17.82	39.49	76.77	95.97	124.05	139.12	118.64	80.17	43.29	20.13	17.90
17.15	30.18	51.71	62.87	79.59	134.50	134.45	118.07	72.37	49.02	20.87	17.10
19.07	31.05	43.35	75.83	98.93	115.07	135.17	114.87	73.92	41.00	21.61	13.92

